tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt7917644	tvEpisode	Episode #1.23	Episode #1.23	0	2017	\N	\N	Drama
tt7917646	short	View: Leave a Comment	View: Leave a Comment	0	2017	\N	7	Music,Short
tt7917648	movie	Amani Taht Qaous Qazah	Amani Taht Qaous Qazah	0	1985	\N	107	Drama,Musical
tt7917650	tvEpisode	The ItchBay Episode	The ItchBay Episode	0	2018	\N	\N	Comedy
tt7917654	tvEpisode	Episode #1.93	Episode #1.93	0	2007	\N	45	Drama
tt7917656	tvEpisode	Episode #1.94	Episode #1.94	0	2007	\N	45	Drama
tt7917658	tvEpisode	Episode #1.95	Episode #1.95	0	2007	\N	45	Drama
tt7917660	tvEpisode	Aaron Hernandez	Aaron Hernandez	0	2018	\N	44	Biography,Crime,Documentary
tt7917662	tvEpisode	Episode #1.1	Episode #1.1	0	2018	\N	\N	Action
tt7917666	tvEpisode	Episode #1.96	Episode #1.96	0	2007	\N	45	Drama
tt7917668	tvEpisode	Episode #1.98	Episode #1.98	0	2007	\N	45	Drama
tt7917670	tvEpisode	Episode #1.97	Episode #1.97	0	2007	\N	45	Drama
tt7917672	tvEpisode	Episode #1.100	Episode #1.100	0	2007	\N	45	Drama
tt7917674	tvEpisode	Episode #1.99	Episode #1.99	0	2007	\N	45	Drama
tt7917676	tvEpisode	Episode dated 22 January 2018	Episode dated 22 January 2018	0	2018	\N	\N	News,Talk-Show
tt7917680	short	Bad Body Fancy Man	Bad Body Fancy Man	0	2015	\N	\N	Comedy,Short
tt7917684	tvEpisode	Episode #1.15	Episode #1.15	0	2018	\N	\N	Fantasy,Romance
tt7917686	tvEpisode	Episode #1.16	Episode #1.16	0	2018	\N	\N	Fantasy,Romance
tt7917688	movie	Dykes, Camera, Action!	Dykes, Camera, Action!	0	2018	\N	58	Documentary
tt7917692	tvEpisode	Prison Doctor	Prison Doctor	0	1952	\N	\N	Drama
tt7917694	movie	Encounter: North	Encounter: North	0	\N	\N	\N	Biography
tt7917696	tvEpisode	Episode #1.69	Episode #1.69	0	2018	\N	\N	Comedy,Drama
tt7917698	short	My Friend Terry	My Friend Terry	0	2015	\N	3	Comedy,Short
tt7917700	short	Watch	Watch	0	2016	\N	12	Drama,Short
